gene,score,logfoldchange,pval_adj
GENE_1543,19.918009,1.6290553,5.681205687264772e-85
GENE_0774,19.703568,1.6466736,2.0095139265497953e-83
GENE_1105,19.369593,1.5937686,8.319847498896054e-81
GENE_0897,19.360458,1.6295303,8.319847498896054e-81
GENE_1049,19.22597,1.5934387,7.732580367574518e-80
GENE_1094,19.224249,1.6632621,7.732580367574518e-80
GENE_1330,19.195656,1.6105443,1.1309918112206356e-79
GENE_1989,19.189566,1.6179444,1.1309918112206356e-79
GENE_0509,19.087904,1.5582473,7.072902689097029e-79
GENE_0832,19.064608,1.5638682,9.939865889784697e-79
