gene,score,logfoldchange,pval_adj
GENE_1053,19.921652,1.6876223,5.282566362647553e-85
GENE_1836,19.087282,1.5923157,3.2209564786775664e-78
GENE_1321,18.924732,1.673865,4.756746544024972e-77
GENE_1478,18.842579,1.5486873,1.4562570124304525e-76
GENE_1743,18.838661,1.5609748,1.4562570124304525e-76
GENE_0552,18.793125,1.6394168,2.8655168519178595e-76
GENE_0155,18.66003,1.670569,2.990596723505691e-75
GENE_0442,18.579363,1.5801517,1.1801719491322528e-74
GENE_0829,18.537746,1.5678118,2.2423487350546602e-74
GENE_1861,18.532883,1.6013061,2.2423487350546602e-74
