gene,score,logfoldchange,pval_adj
GENE_0885,18.844238,1.704721,6.553057535802111e-76
GENE_0298,18.54939,1.6825927,6.364706148707904e-74
GENE_0927,18.541529,1.6696792,6.364706148707904e-74
GENE_0622,18.290066,1.6101236,4.964796059809224e-72
GENE_1994,18.269005,1.6291281,5.843618688804684e-72
GENE_1809,18.23938,1.599413,8.376452209856542e-72
GENE_0211,18.229551,1.5907431,8.59363833323988e-72
GENE_0290,18.170443,1.6746538,2.212078661967922e-71
GENE_1554,18.142923,1.5910405,3.2456349710967057e-71
GENE_1881,18.070053,1.569769,1.0972133434696048e-70
