gene,score,logfoldchange,pval_adj
GENE_1731,18.223562,1.6203446,3.669320743362034e-71
GENE_1170,18.218676,1.6685828,3.669320743362034e-71
GENE_0481,18.147373,1.703798,8.97942834590969e-71
GENE_0498,17.95086,1.6125872,2.36268573390045e-69
GENE_0573,17.89997,1.6735498,4.208575049892087e-69
GENE_1438,17.894075,1.6464593,4.208575049892087e-69
GENE_0139,17.887608,1.619266,4.208575049892087e-69
GENE_0444,17.858137,1.6072364,6.246003209835572e-69
GENE_1578,17.735083,1.6130576,4.994801392130191e-68
GENE_1293,17.714813,1.6733406,5.950448188913673e-68
