gene,score,logfoldchange,pval_adj
S100A8,15.822595,2.829491,4.346982136493257e-53
LYZ,15.357614,2.7244165,3.1495467159937667e-50
FCN1,15.272704,2.6677241,7.750002365645669e-50
GENE_1462,3.4465153,0.26536232,0.018618571134245022
GENE_1532,3.3360522,0.2410689,0.027412008486575386
GENE_1389,3.1668801,0.20856436,0.0489154944365325
GENE_0650,3.1249914,0.21076976,0.055565689773627566
GENE_0593,2.9946353,0.22906676,0.08454560166912906
GENE_1507,2.964553,0.24246988,0.09048447177613136
GENE_1175,2.907138,0.21689337,0.10728004572183228
