gene,score,logfoldchange,pval_adj
IL7R,15.806587,2.8421426,5.604884553720121e-53
CD3E,15.317618,2.6993833,5.8315229981519535e-50
CD3D,15.10433,2.6599238,1.0109363808850492e-48
GENE_1071,7.6251955,0.60848343,1.1944720474559943e-11
GENE_0612,7.5989175,0.62621766,1.1944720474559943e-11
GENE_0657,7.4185166,0.596071,3.9479722650078694e-11
GENE_0969,7.364187,0.59701246,5.0922779619958736e-11
GENE_0292,7.312759,0.63209796,6.542800635757424e-11
GENE_0817,7.296315,0.6543365,6.57235443999089e-11
GENE_1222,7.265039,0.65189904,7.458606146290464e-11
