gene,score,logfoldchange,pval_adj
MS4A1,15.3938,2.8548036,3.6027113156130827e-50
CD79A,15.19475,2.7513807,3.831261367016481e-49
GENE_1493,4.182403,0.27822205,0.0009946336230203232
GENE_1545,3.7642298,0.28374866,0.005477480824826823
GENE_1684,3.7555318,0.2394479,0.00557979886167162
GENE_0769,3.6588502,0.2733012,0.008042838641528056
GENE_0456,3.5621684,0.2362495,0.011493882714795857
GENE_0215,3.4256766,0.25222152,0.018869845931140397
GENE_0205,3.284334,0.22075985,0.030976874257217363
GENE_1771,3.152024,0.24569662,0.048400884976110815
