gene,score,logfoldchange,pval_adj
LYZ,15.614792,2.7436564,1.154661308473321e-51
FCN1,15.3870535,2.6602347,1.9993192517181947e-50
S100A8,14.862424,2.5583107,3.853040032668044e-47
GENE_0773,7.9141583,0.6881391,1.120406185605644e-12
GENE_0139,7.8994656,0.6487765,1.120406185605644e-12
GENE_1263,7.6428204,0.6053426,7.083806455334303e-12
GENE_0263,7.477686,0.6111025,2.161219219898294e-11
GENE_0201,7.3647747,0.5966402,4.097183445073996e-11
GENE_1915,7.3596644,0.6436686,4.097183445073996e-11
GENE_1391,7.310795,0.5807313,5.311338703549206e-11
