gene,score,logfoldchange,pval_adj
CD3D,15.349215,2.7121668,7.170055940549359e-50
CD3E,15.045545,2.6384258,2.600179887754748e-48
IL7R,15.041927,2.6869857,2.600179887754748e-48
GENE_1883,3.9554338,0.27642447,0.0025465294134942957
GENE_0739,3.8201225,0.29153687,0.004302756183236935
GENE_1650,3.6164155,0.2454347,0.009482882916640243
GENE_0824,3.5483487,0.27479845,0.012114206554896303
GENE_1649,3.2581608,0.24725504,0.03450364348803799
GENE_0097,3.2091658,0.23726726,0.04033959153461684
GENE_1945,3.1807225,0.22559966,0.04385320757243069
