gene,score,logfoldchange,pval_adj
GNLY,15.038291,2.872211,8.240971442831499e-48
NKG7,14.822454,2.833099,1.0488071532479211e-46
GENE_1585,4.0990033,0.30595532,0.0013831107224717637
GENE_1041,3.9493127,0.24351102,0.0025697008875543263
GENE_0725,3.6776652,0.2593263,0.007592861251698709
GENE_1400,3.602906,0.25073364,0.009989819443306217
GENE_1680,3.5849915,0.28998023,0.010534040674577465
GENE_0471,3.4585555,0.2841893,0.016456979591674224
GENE_1152,3.4511485,0.24960478,0.016662874979209236
GENE_1051,3.4242766,0.27125323,0.018130543557899143
