gene,score,logfoldchange,pval_adj
MS4A1,15.124518,2.8190079,2.2322823670138535e-48
CD79A,15.035906,2.7785437,4.2716729040463823e-48
GENE_1438,7.648345,0.6770505,1.3572137357635453e-11
GENE_1263,7.5917406,0.64396036,1.5781805272730338e-11
GENE_1640,7.4168735,0.6540515,4.7967033259865236e-11
GENE_1260,7.369703,0.6290303,4.960607574965967e-11
GENE_0998,7.3676815,0.6550291,4.960607574965967e-11
GENE_0210,7.1633325,0.5861183,1.968479037577408e-10
GENE_1301,7.035972,0.63141334,4.0056341837045284e-10
GENE_0765,7.0342875,0.60015106,4.0056341837045284e-10
